Conference,Year,level_2,X0
sigcomm,2016,pct_big_na,23.08
sigcomm,2016,pct_big_eu,17.95
sigcomm,2016,pct_big_as,5.13
sigcomm,2017,pct_big_na,28.57
sigcomm,2017,pct_big_eu,5.71
sigcomm,2017,pct_big_as,8.57
sigcomm,2017,pct_big_other,0.0
sigcomm,2018,pct_big_na,10.81
sigcomm,2018,pct_big_eu,8.11
sigcomm,2018,pct_big_as,8.11
sigcomm,2019,pct_big_na,16.13
sigcomm,2019,pct_big_eu,9.68
sigcomm,2019,pct_big_as,3.23
sigcomm,2020,pct_big_na,19.23
sigcomm,2020,pct_big_eu,9.62
sigcomm,2020,pct_big_as,3.85
sigcomm,2021,pct_big_na,25.45
sigcomm,2021,pct_big_eu,10.91
sigcomm,2021,pct_big_as,5.45
sigcomm,2022,pct_big_na,20.75
sigcomm,2022,pct_big_eu,5.66
sigcomm,2022,pct_big_as,5.66
sigcomm,2023,pct_big_na,23.94
sigcomm,2023,pct_big_eu,0.0
sigcomm,2023,pct_big_as,15.49
sigcomm,2024,pct_big_na,19.35
sigcomm,2024,pct_big_eu,1.61
sigcomm,2024,pct_big_as,19.35
sigcomm,2024,pct_big_other,0.0
